公告id	股东全称	股东简称	变动截止日期	变动价格	变动数量	变动后持股数	变动后持股比例
1395885		四川元智	2008-03-17				0.048400
1396095			2008-12-02				
1402891	北京	九龙	2008-08-20	7.990000		30208000	
14046644	有限公司	招商局集团					
1412778	深圳市	源投资	2008-10-13	2.940000	435000		0.002049
1421829		复星集团	2012-02-22		824107		
1423765	实惄有限公司	包头浩瀚	2012-01-17				
14247472		集团			1500000		
14247485	中国科学院福建物质结构研究所		2016-08-29				
1424983	南京新港	总公司	2012-01-10		1000000		
1425236	天水	微电子	2012-01-09				
1425278		神华集团公司			10808605		
1429463	青岛海信电子产业控股股份有限公司	海信电子控股	2011-12-27				0.036100
142987		荣冠投资	2013-02-28				
1433571	新余钢铁集团有限公司	新钢集团	2011-12-16				
1436587		西部矿业	2009-01-09				
143781	管理有限公司	中国人寿					
1438431	四川禾嘉实业(集团)有限公司	禾嘉集团	2008-12-17				
1439395	深圳吉富创业投资股份有限公司	吉富创业	2008-03-07		80780654		
1440597	江苏友邦投资担保有限公司		2009-01-21		5000000		
144097			2012-02-07		5000000		
144153		博威集团	2013-02-28	14.128200			
1443165			2009-03-23				
1446223	大连	集团	2011-11-03	7.750000			
14467277	有限公司	东莞康佳	2016-09-01				
1446860	黑龙江辰能哈工大高科技风险投资有限公司	辰能投资	2011-08-15				
1449291	江西昌九化工集团有限公司	昌九集团	2009-11-03				0.416400
1449522			2009-10-28				
1449551	有限公司	上海天纪	2009-11-05				
1452646			2010-01-21				0.047000
1458349	有限公司	维维集团	2008-10-28	3.420000			
1460757	控股集团有限公司	武汉高科	2010-12-02				0.169200
146284		南江集团	2013-01-10		56000000		0.049600
146332		长和投资	2013-01-28				
14663668		潇湘资本	2015-07-08				0.049776
14663730	管理有限公司	西藏康盛		20.150000	500000		
14756096	湘潭电化集团有限公司	电化集团	2016-09-13	23.120000			
14765281	新余高新区	投资	2015-03-18				
14771383		金石投资	2016-08-31				
14788241	有限公司	雅戈尔集团	2016-09-21				
14792467	有限责任公司	中兵投资	2016-09-28		10556969		0.249000
1482922	有限公司	荣盛控股	2010-08-31	11.210000	200000		
148916	福建省	福建稀土集团	2012-08-24	28.130000			0.005100
1493735	陕港	科创力					
14967219		鼎晖	2016-09-01				
149674		广汇集团					
1497193	浙江精工建设产业集团有限公司	产业集团	2010-06-01		380000		
1499316	武汉长江通信产业集团股份有限公司	长江通信	2010-09-06		4360869	56084604	
1502405	利时集团股份有限公司	利时集团				37667446	0.127800
1504691	公司	安徽出版集团	2011-01-25				
1525567	中信证券股份有限公司	中粮集团	2007-01-04				
15303470	有限公司	盈富泰克	2016-10-21				
1530694	中国	集团	2007-04-06				
1530867	深圳吉富创业投资股份有限公司	吉富创业	2007-05-14		5030003	57791125	
1531170	深圳吉富创业投资股份有限公司	吉富创业	2007-05-28		18129285		
15312101	股份有限公司	中国华融资产	2016-10-24				
1531309	青岛红星化工集团有限责任公司	红星集团			2374121	151814208	0.521300
1531508		中国信达	2007-05-21				
1531978	青岛红星化工集团有限责任公司	红星集团			4425879	154188329	0.529500
15320382	贵州盖克航空机电有限责任公司	盖克机电					
1533283	哈尔滨	科技	2007-06-18		6103356		
1533493		信达投资	2006-06-22		240000	29757639	0.556000
15335172		步森集团	2016-10-28				
153427		义煤集团	2012-11-28				
15342767	北京市基础设施投资有限公司	京投公司	2016-11-01	9.480000	6503328		
15346363	成都	德同银科		45.910000	1500000		
15348620	深圳市星期六投资控股有限公司	星期六控股	2016-11-02	12.420000	2400000		
15349230	安徽	力投资	2016-11-03	33.460000	2500000	42785605	
15349432							0.271500
1535763	新疆艾比湖农工商联合企业总公司	艾比湖总公司	2007-08-09			88726528	0.492900
15358656	立讯有限公司	香港立讯	2016-11-04				
15362153							
15362315	管理股份有限公司	中国信达			600000		
15362333		上海祺嘉	2016-10-31				
153664		凤凰集团	2012-11-12	7			
1538002	凤凰光学控股有限公司		2007-09-13		3000000		
1539140	吉林高新区华林实业有限责任公司	华林实业					0.005000
1539491	吉林高新区华林实业有限责任公司	华林实业					
15397524	管理顾问股份有限公司	凯撒世嘉	2016-11-11		237400		0.343300
153996	广州	集团	2012-11-06				
1540881		中丝总公司	2007-11-07				
154389		集团公司					0.077400
1544377	深圳吉富创业投资股份有限公司	吉富创业			44860327		
15445475	北京融达投资有限公司	融达公司	2016-11-11	11	6000000		
154513	中国中煤能源集团有限公司	中煤集团	2012-10-10				
15452560			2016-11-14	6.570000			
15452570	华立集团股份有限公司	华立集团	2016-08-17		184100		
15461680	昆山	投资			1900000		
15469292		华仪集团	2016-11-18			234283762	0.308300
15480754		九鼎医药	-11-22				
15481106	西藏锋泓投资管理有限公司	西藏锋泓投资		26.060000			0.209189
15488996			2016-11-24				
1549347	中央汇金投资有限责任公司	汇金公司	2008-09-23				
15520655	武汉当代科技产业集团股份有限公司	当代科技		29.800000	800000		
15523807	金岸有限公司	金岸公司	2016-12-01	27.150000	1500000		
15534484	深圳市	财信	2016-12-09				
15534992		磐石宝骐					
1553881	山东	集团	2014-11-07				
15544307	浙江嘉化集团股份有限公司	嘉化集团	2016-12-14				
15552810	有限责任公司	四川三新					
15561481	有限责任公司	中兵投资	2016-12-20		25000000		0.136100
15567955	富润控股集团有限公司	富润集团	2016-12-21				0.005600
15575906							
156027			2012-07-06				0.006200
15612302	山西国际电力集团有限公司	国际电力					
15612443		上海力珩投资					
15612533		上海祥禾		30.600000			0.049900
15617032		平高集团	2017-01-04	15.878000			
15617384	招商银行-长城汇理1号资产管理计划	财通基金		30.922000			
1562781	陕西煤业化工集团有限责任公司	陕西煤业	2015-02-06		10590000		
15632134	深圳市广晟投资发展有限公司	深圳广晟投资	2017-01-03	9.960000	6876386		
15632436	有限公司	银联科技	2016-12-07				
15635342		西王集团	2016-12-01				
15635348	北京	科技	2016-12-21		5000000		
156398	中央汇金投资有限责任公司	汇金公司	2012-10-10				
1564484	烟台	新材集团	2015-03-16	13.280000			
15646012	有限公司	上海原龙	2017-01-16				
15649982	有限公司	金陵投资	2017-01-17	10.250000			
1565428			2014-09-25				
1566690		华仁世纪集团	2015-01-30	6.700000			0.416400
1567374	中国	资产	2015-01-29				
15681449	广州	实业集团	2017-01-25				0.356200
1568652	深圳市	达电子	2015-01-29				
15709689	苏州	鸿华投资	2017-02-14				
15709972	浙江祥云科技股份有限公司	祥云科技	2017-02-13	34.150000	250000		
15713279		凯信金鹏	2017-02-15				0.050000
157146	广东省广晟资产经营有限公司	广晟公司			12000000		
15719475	浙江德清	投资			10000		
15722890	管理有限公司	西藏康盛	2016-06-29	20.150000	500000		0.167200
15733206	广东省广晟资产经营有限公司	广晟公司	2017-02-23				
15737047	天弘基金平安银行长江		2017-02-23				
15746104	管理有限责任公司	南方工业	2017-02-27		550000		0.434100
15775014			2016-08-31				
15832945		龙星化工	2017-03-23			30472029	
1584735	深圳市	投资	2015-04-13				0.066600
15847933	宜昌市长金股权投资合伙企业	长金投资					
158622		通用技术集团	2012-09-19		5779392		0.396100
1587177	北京人济房地产开发集团有限公司		2015-04-14	34.280000	2060000		
1587747	上海	投资	2015-04-15				
158830		通用技术集团	2012-09-19		303275		0.396800
158900	拉萨泰山	实业					
159007	有限公司	永泰投资	2012-09-25		12032980		0.403800
15928442	沧州	集团					
15959018	管理股份有限公司	中国华融	2017-04-14	14.120000	3593500		
159656	上海世茂企业发展有限公司		2012-09-03				
15969570	集团有限公司	阳光凯迪	2017-04-18				0.290300
15983322	宋雪云	天勤十号	2017-04-14				0.017800
16038000	西藏	科技	2017-04-24				
16044157		平高集团	2017-04-25				
1611500		尊威贸易	2015-02-03	9.610000	4000000		
161225		博威集团	2012-08-28	14.128200			
16143591			2017-05-05		4013700		
16145340		中国水务投资	2017-05-08				
16149966	重庆东银控股集团有限公司	东银控股	2017-05-09	5.817000	1740000		
16158737	管理有限公司	上海亨升	2017-05-03	10.300000	250000		
16164309	管理有限公司	宁波炬泰	2017-05-11				
16165378		云锡集团	2017-05-11		2731600		
16169531	鲍乐		2017-05-12		1000000		
16170977	控股有限公司	康美实业	2017-05-12				
16176171	深圳市	投资	2017-05-15		1796600		
16176633	叶湘武		2017-05-08				
16176724	集团有限公司	阳光凯迪	2017-05-15				
1617734	新东北电气投资有限公司	新东投	2015-04-24				
16181989	延万华		2017-05-16			48500384	
16182424	国广环球资产管理有限公司	国广资产	2017-05-16		12473261		
16189062	控股有限公司	康美实业	2017-05-17		2000000		
16189598	南京	航天科技投资	2017-05-17		5579745		
16194996	王敏						
16202442	延万华		2017-05-18		700000		
16213210		力合创赢	2017-02-17	15.130000	6500000		
16213225		刚泰集团	2017-05-22			369634172	0.248300
16218880	林文洪		2017-05-23				
16223308			2017-05-24				
16223311	有限责任公司	中兵投资	2017-05-24				
16223935		雅华投资	2017-05-24	9.500000	3156500		
16226589			2017-05-25				
16227109	杨林		2017-05-25				
16227602	杭州	科技	2017-05-24		5000000		
16231876	哈尔滨电气集团公司	哈电集团	2017-01-04				
16233317	广西投资集团有限公司	广西投资集团					
16238525		中庚集团	2017-05-31	28.670000	1270500		0.020200
1624175	深圳市	成长	2015-04-24				
16245600		市北集团	2017-06-01		4374968		
16246028		西王集团	2016-06-01				
16249413	长江润发集团有限公司	长江润发集团	2017-06-01				
16255498	公司	云天化集团	2017-05-25				
16258990	(集团)有限公司	上海铭大	2017-06-06				
16260368		神雾集团		30.667000			
16267995			2017-06-08		6989954		
16271718			2017-06-08				
16281278		信托计划	2017-04-28		2000		
16281645	新余高新区	投资	2017-03-16	35.310000			
16285771		雷岩投资					
1628831	东北特殊钢集团有限责任公司	东北特钢集团	2015-04-27			218381481	
16289556	江苏	集团	2017-06-15				0.276200
1629269	新余	星	2015-04-29	21.740000			
16299313	胡季强	康恩贝集团	2017-06-19	6.698000	1200000		
16302706		恒鑫集团			2000000	29113077	0.050000
16318409			2017-06-26				
1631968	杭州	富丽达	2015-05-05				
16323896		罗牛山集团					
16328630	上海歌金企业管理有限公司	歌石祥金	2017-06-27				
16337067	安徽省	商业			10912871		
16337547	上海	石油	2017-06-29	7.460000	5600000		
16337954		信托计划	2017-04-28				
163424	常州海坤通信设备有限公司	常州海坤	2012-08-15				
16349015		萍乡富海	2017-01-10			306310127	
1635629	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2013-10-30				
1635693			2014-04-30				
1635808	重庆建峰工业集团有限公司	建峰集团	2015-05-11				
1636053	光明集团股份有限公司	光明集团	2015-05-12				
16361279						170255458	
1636160	深圳市	投资	2015-05-08				0.320000
16364252	宁波经济技术开发区春秋科技开发有限公司	春秋科技	2017-05-19				
16364810	管理有限公司	西藏康盛	2017-07-10				
16368169	绵阳科技城产业投资基	绵阳基金	2017-01-24	19.500000	16000000		
16369010		三盛宏业	2017-06-27		2186700		
16369113	北京	控股	2017-07-11	25.160000			
16372046	深圳市	博睿意碳源			7088597		
16376446	东方时尚投资有限公司	投资公司	2017-07-13				
16376979	兴宁市金顺安投资有限公司	兴宁金顺安	2017-03-31		2746874		
16377057	创新投资集团有限公司	深圳创投	2017-03-24				
16377248	陈江涛	北方信托	2017-06-14				
16385116			2017-07-17				
1638572		润佳华商	2015-05-15				
16388586	吴淑华			30.589000			
16389547			2017-07-17				
16394180	国广环球资产管理有限公司	国广资产	2017-07-19		12473261		
16394472							
16398283			2017-07-14	18.600000			
16398664		杨树蓝天	2017-03-29				
1640191	有限公司	包头雅本投资	2015-05-14		10000000		
16402012			2017-07-20				
16402145	有限公司	上海浦东科技	2017-07-21		1620000		
16402341		蓝海投资		34.420000			0.100000
16402508	邱永平		2017-07-20				
16403199				15.097000			
16407429			2017-07-24				
16407487		中科汇通				14929692	0.049900
16407506		中科汇通	2017-07-24				
16411944	深圳)股权投资基金有限公司	中科汇通					
16416308		凯信金鹏					0.050000
16419337		奥克集团	2017-07-27				
16420111		中国水务投资	2017-05-09				
16422010		嘉谟逆向基金	2017-07-26	31.880000	23		
16439862	管理股份有限公司	中国信达	2017-07-31				
1644334	拉萨开发区	同轩	2015-05-19				
1645506	股份有限公司	红塔创投	2015-04-23				
1647110	浙江	药业	2015-05-11				
1647747	冀中	集团	2015-05-22				
164902	安徽	集团	2012-07-09				0.372500
1649492	有限责任公司	安徽皖能置业	2015-05-25	17.520000		21500000	
1650113	有限公司	包头雅本投资	2015-05-26				
16503430	兰州	新盛	2017-08-10				
1650396	株式会社	日本东方	2015-05-25				
1650652	江苏地华实业集团有限公司	地华实业	2015-05-26				
1651726	北大方正集团有限公司		2015-05-26				
1651908	天津百利机械装备集团有限公司	百利装备集团	2015-05-27				
16520801		达晨创世	2017-07-26	22.890000	135000		
16520809	有限公司	浙江华迅		14.500000	1421700		
1652465		郑州市热力总公司	2015-05-27	23.620000			
1653631	河北省国有资产控股运营有限公司	国控公司	2015-05-28				
16540477		盈联控股	2017-07-31	36.840000	100000		0.117800
16547952			2017-08-20	16.950000			
16548897		光正投资	2017-08-19				
16566683		合和集团	2017-08-23				
16567778		九芝堂集团	2017-08-23				
1658066	新疆维实创业投资股份有限公司		2015-06-02	25.900000			
1662283	方天津渤海国有资产经营管理有限公司	天津渤海	2015-06-05				
1662510		世欣荣					
1662930	萍乡市荣安资产服务有限公司	荣安资产	2015-06-08		15400000		
16656049	湖北	升科技					
166614	广东榕泰高级瓷具有限公司	榕泰瓷具	2012-07-27		1802021		
16665024		欣胜投资	2017-09-07	13.730000			
16665727	新余高新区	投资	2017-09-06				
16669476			2017-09-07		110000		
16669636	吕加奎		2018-02-28				
16679347	万向创业投资股份有限公司	万向创投					
1668054	广东中小企业股权投资基金有限公司	广东中小企业			1500000		
166807	有限公司	南通综艺投资	2012-07-23				
16684115	天津华远浩利投资股份有限公司	天津浩利	2017-08-31		1000000	212909957	0.090800
16703052		富华远东					
16712340	公司	云天化集团	2017-09-20				0.103100
16712435		科博德奥	2017-09-21	16.370000	4179500		
16712440	安徽	力投资					
16712633		鹏起万里产融					
16715449			2017-09-22		6301900		0.608800
16716558		华泰紫金	2017-09-21				
1671965			2015-06-15	45.450000			
16721232	广东省科技创业投资有限公司	广东科创					
16721328		正元投资	2009-12-29		5290176		
16725312	兰州	集团					
1673169	湖南湘投控股集团有限公司	湘投控股	2015-06-18	30.270000			
16733816	有限公司	香港欣荣	2017-09-28				
16733935	上海科技创业投资有限公司	上海科创	2017-09-28	14.920000	29000	82144000	
16734551	上海	辉投资	2017-07-14	22.940000	42188	126562	25.39.680000
16738399	德清	投资	2017-09-28	6.160000			
16748275	(集团)有限公司	上海铭大	2017-08-01	15.250000	2400000		0.100800
16748676		科泰控股	2017-09-27				
16751955		达晨创世	2017-09-20				
16752787			2017-09-30				0.045100
16760458	曾力		2017-10-12	10.360000	4118700	110071810	0.035200
1678213		中粮集团					0.040800
16788755		绵阳基金	2017-08-24	19.010000			0.062900
1679580	太原化学工业集团有限公司	太化集团	2015-06-26				0.427000
16797640	绵阳科技城产业投资基金	绵阳基金	2017-09-05				
16798053		南桥投资					
16817979	珠海市	灿阳	2017-08-30	40.560000	35000		
1681974	天津泰达	泰达集团					
1682812	广西	电力					
16832119	北京	恒源	2017-10-27				
1683513	阿拉尔统众国有资产经营有限责任公司	统众公司	2015-07-01				
16835365	有限公司	杭州正高投资	2017-10-30				
1684968	有限公司	中国泛海	2015-07-02	12.600000	1000000		0.737300
1685058	安徽	投资	2015-07-02				0.003300
16853378			2017-11-02	12.760000	30000		
1685453	江苏康缘集团有限责任公司	康缘集团	2015-07-03				
1686028	江西	集团	2015-07-03				
16861228			2017-08-08				0.097600
16862008			2017-11-03			4332098	
16865686		鸿海清科技			8100000		
16866773	重庆东银控股集团有限公司	东银控股		4.699300			
1686962	上海	投资	2015-07-06				
16870136	蓝海投资江苏有限公司	蓝海投资	2017-09-07				
16870219	陈文团		2017-11-07				
16873474	哈尔滨飞机工业集团有限责任公司	哈飞集团	2017-11-08				
16873826	有限公司	浙江富丽达	2017-09-01	16.480000			0.093600
16874361			2017-05-12		10000		
16877777	新疆成农远大股权投资有限合伙企业	成农投资					
16878318	中国	资产	2017-09-11	17.570000	10000		
1688253				8.470000	500000		
16884385	华录文化产业有限公司	华录集团	2017-11-03	13.560000			
1688607	江苏	集团			3301500		
16888292			2017-11-14		259200		
16888618	罗红花		2017-11-10				
16888621	上海中创凌兴能源科技有限公司	上海中创凌兴	2017-11-10	10.760000			
1689148	云南省城市建设投资集团有限公司	省城投集团	2015-07-07		17180000		0.344700
16891995							
16893052	叶洪孝		2017-11-06	29.714000		439465	
1689430	金世旗国际控股股份有限公司	金世旗控股	2015-07-07		36777821		
1689698		中科汇通	2015-07-06	17.980000			
16900097	天津华远浩利投资股份有限公司	天津浩利	2017-09-13		1000000	212909957	0.090800
16900248		国管中心					0.034700
16910075	青岛城投金融控股集团有限公司	城投金控	2016-12-30				
16911060	宁波富邦控股集团有限公司	富邦控股	2017-11-21				
1691184			2015-07-08				
16919230	武汉华汉投资管理有限公司	武商联	2017-11-23		4222500		0.340000
16919490	云南九天投资控股集团有限公司	九天控股	2017-11-23				
1692140	中国电力建设集团有限公司	电建集团	2015-07-09				
1692506	中电科投资控股有限公司	中电海康	2015-03-07				
1692539		广东宏巨公司	2015-07-09		4000000		
1692583		厦门国贸控股	2015-07-09				0.314500
1692656	中国大唐集团公司	大唐集团	2015-07-09				
16927722		欣胜投资	2017-09-07				
1692799	北京顺鑫控股集团有限公司	顺鑫控股	2015-07-09	15.581000			
16928027	林皓		2017-11-27				
16928251	有限公司	高新投资	2017-06-20	24.560000	104000		
16928349	新疆特变电工集团有限公司	特变集团	2017-11-25				
16928669	河南豫联能源集团有限责任公司	豫联集团					
16936885	武汉当代科技产业集团股份有限公司	当代科技	2017-11-29	19	7564085		0.288200
16936925	管理有限公司	申万菱信	2017-09-30				
16937233		德丰杰	2017-09-06				
16937839	西藏华毓创业投资管理有限公司	西藏华毓	2017-11-29				
16941086			2017-11-29	34	26		
16941262			2017-11-30				
16941283	西藏华毓创业投资管理有限公司	西藏华毓		8.630000			
16941948			2017-11-22				
16946197			2017-12-01				
16951569	华讯方舟科技有限公司	华讯科技					
1695203	中国交通建设集团有限公司	中交集团	2015-07-10		100000	10325007306	
1695326		中国海油	2015-07-10		200000		
1696988			2015-07-10				
1697196			2015-07-10		2300		
1697223	上海联明投资集团有限公司	联明集团	2015-07-13		800001		
1700107			2015-07-14				
170108	广州发展集团有限公司	发展集团					
1701840	徐工集团工程机械有限公司	徐工机械		12.560000	20858205		
1702167	有限公司	荣盛控股	2015-07-14		4930000	1466540056	
1702211	有限公司	山东龙脊岛	2015-07-15		1500000		
1704183		卧龙控股	2015-07-16	6.690000	1200000		
1704334	中国航空工业集团公司	中航工业	2015-07-16			1580587039	
1704911			2015-07-17	19.770000	2200000		
1705071		马鞍山鼎泰	2015-07-16				
1705185	河北以岭医药集团有限公司		2015-07-17		300000		
1705881	吴开贤		2015-07-17				
170881		正邦集团	2012-11-27		190000		
1709796	山东省	集团	2015-07-23				
1713322	上海船舶运输科学研究所	上海船研所			606000		
1713711	公司	青海重型机床	2015-07-28	9.666600			
1714091	广西	电力	2015-07-09				
1714094	深圳市投资控股有限公司	深投控	2015-07-28				
1714218	有限公司	中国化工	2015-07-28				0.441300
1714692		中科汇通					
1718095		嘉化集团	2015-07-30		560000		
1718753	宁波	东方集团	2015-08-03		200000	114745000	
1719571	中电投蒙东能源集团有限责任公司	蒙东能源公司					
1720096	深圳)股权投资基金有限公司	中科汇通			2197582		
1722221	微森投资				3461295		
1727993	有限责任公司	青海宁达	2015-08-13		4553800	5622200	0.009200
172927	韵升控股集团有限公司	集团公司	2010-11-01		3590000		
17385713		霍煤集团	2017-12-06	14.215600	2700000		
1742445	北京	控股	2015-08-25		600000		
1744344	有限公司	湖北鼎铭					
1745113	北京	紫光通信	2015-08-25	3.870000	4000000	480468900	
174524	北京	萌置业	2012-03-08	7.070000	1000000		0.086200
1747206	上海人寿保险股份有限公司	上海人寿	2015-08-26			9445326	0.018000
1748661	江苏鱼跃科技发展有限公司	鱼跃科技					
1748677	有限公司	湖北鼎铭	2015-08-26				
1750151	北京	控股	2015-08-27				
1750570	深圳鹏博实业集团有限公司	鹏博集团	2015-08-27	18.300000			
1751967	安徽楚江投资集团有限公司	楚江集团	2015-08-28		3397419		
1754428	吴开贤			14.024000	300000		
1754773	黑龙江	集团	2015-08-28		4901114		
1755851	有限责任公司	中国中海	2015-08-31		941300		
1755980		北京用友科技	2015-09-01		1000057	415239722	
1756266	邯郸钢铁集团有限责任公司	邯钢集团	2015-09-01				
1756862			2015-09-01				
1757215	隆鑫控股有限公司	隆鑫控股			5400000		
1757380	上海人寿保险股份有限公司	上海人寿	2015-09-02				0.026700
